"","x"
"GCAPost1",-0.66150627749313
"GCAPost2",-0.787661857858109
"GCAPost4",-0.580992617991542
"GCAPost5",0.0819931631139628
"GCAPost6",-0.66150627749313
"GCAPost7",-0.68208322591889
"GCAPost8",-1.71002533167421
"GCAPost9",0.68908060546946
"GCAPost10",0.432420165982973
"GCAPost11",0.269115532426128
"GCAPost12",0.213672224447011
"GCAPost13",-1.10175663387959
"GCAPost14",-0.110674751977086
"GCAPost15",0.808452283294516
"GCAPost16",-0.205814354258788
"GCAPost17",0.648169794525124
"GCAPost18",0.275241326558234
"GCAPost20",1.24082419803324
"GCAPost21",0.351281537531664
"GCAPost22",0.59232413646265
"GCAPost23",0.253771576950047
"GCAPost24",0.610082779992465
