"","cl","Semester","Institution","Course.Code","count","GCA_pre_mean","GCA_pre_sd","GCA_pos_mean","GCA_pos_sd","GCA_dif_mean","GCA_dif_sd","GCA_std_mean","Pre alpha","Post alpha"
"1"," 1","Fa2015","CUB_KK","MCDB2150","114","10.37","3.63","18.26","3.83","7.89","3.99","1.69","0.62","0.73"
"2"," 2","Fa2015","JHU_EF","Genetics020.330","114","12.38","3.87","18.75","3.57","6.38","3.77","1.36","0.67","0.70"
"3"," 3","Fa2015","Metro_VM","BIO3600"," 21"," 8.71","3.33","13.95","5.28","5.24","4.36","1.12","0.57","0.84"
"4"," 4","Fa2015","StMU_CG","BL2330"," 16"," 9.81","3.85","15.44","4.99","5.62","4.27","1.20","0.71","0.83"
"5"," 5","Fa2015","UCD_AJ1","BIOL38321"," 45"," 8.58","3.22","15.09","4.46","6.51","4.60","1.39","0.53","0.76"
"6"," 6","Fa2015","UCD_AJ2","BIOL38322"," 66"," 7.61","3.12","15.94","4.05","8.33","4.37","1.78","0.55","0.71"
"7"," 7","Sp2016","CUB_JK","MCDB2150","264"," 9.52","3.42","18.76","3.98","9.24","3.95","1.97","0.57","0.76"
"8"," 8","Sp2016","Metro_VM","BIO3600"," 28","10.43","4.23","14.25","4.84","3.82","5.50","0.82","0.73","0.81"
"9"," 9","Sp2016","StMU_CG","BL2330"," 14"," 9.00","2.57","11.79","4.04","2.79","4.00","0.59","0.29","0.70"
"10","10","Sp2016","Uga_NA","GENE3200","224","10.28","3.49","13.50","4.50","3.22","3.37","0.69","0.60","0.76"
"11","11","Fa2016","CUB_KK","MCDB2150"," 99"," 8.57","3.40","17.69","3.92","9.12","3.85","1.95","0.57","0.73"
"12","12","Fa2016","JHU_EF","Genetics020.330"," 91","12.63","3.92","17.31","3.29","4.68","4.08","1.00","0.66","0.66"
"13","13","Fa2016","Metro_VM","BIO3600"," 29"," 8.90","3.79","14.10","4.13","5.21","5.46","1.11","0.67","0.71"
"14","14","Fa2016","StMU_CG","BL2330"," 11"," 9.64","3.96","13.73","4.94","4.09","2.02","0.87","0.71","0.80"
"15","15","Fa2016","UCD_AJ","BIOL38321"," 94"," 8.73","3.28","18.22","3.82","9.49","4.12","2.03","0.57","0.75"
"16","17","Sp2017","CUB_JK","MCDB2150","262"," 9.24","3.53","17.96","4.28","8.72","4.14","1.86","0.59","0.78"
"17","18","Sp2017","Metro_VM","BIO3600"," 21"," 9.52","3.96","15.29","3.96","5.76","4.30","1.23","0.70","0.69"
"18","19","Sp2017","StMU_CG","BL2330","  7"," 8.14","3.34","12.57","6.13","4.43","3.82","0.95","0.52","0.87"
"19","20","Sp2017","Uga_NA","GENE3200","147"," 9.14","3.46","12.97","4.45","3.83","3.82","0.82","0.59","0.75"
